2021-11-06 14:00:30 [main] [readText] [23] INFO  epam.task4.reader.impl.TextReaderImpl - Text: 
It is a (7^5|1&2<<(2|5>>2&71))|1200 established" (fact) that a reader will be of a page when looking at its layout.
Bye.
2021-11-06 14:00:30 [main] [parse] [38] INFO  epam.task4.parser.impl.LexemeParser - Math[]
2021-11-06 14:00:30 [main] [parse] [38] INFO  epam.task4.parser.impl.LexemeParser - Math[]
2021-11-06 14:00:30 [main] [parse] [38] INFO  epam.task4.parser.impl.LexemeParser - Math[]
2021-11-06 14:00:30 [main] [parse] [38] INFO  epam.task4.parser.impl.LexemeParser - Math[(7^5|1&2<<(2|5>>2&71))|1200]
2021-11-06 14:00:30 [main] [parse] [41] INFO  epam.task4.parser.impl.LexemeParser - цикл(7^5|1&2<<(2|5>>2&71))|1200
2021-11-06 14:00:30 [main] [parse] [17] INFO  epam.task4.parser.impl.SymbolParser - (7^5|1&2<<(2|5>>2&71))|1200
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@3cebbb30
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@12aba8be
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@290222c1
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@67f639d3
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@6253c26
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@49049a04
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@71a8adcf
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@27462a88
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@82de64a
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@659499f1
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@51e69659
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@47e2e487
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@201a4587
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@61001b64
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@4310d43
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@54a7079e
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@26e356f0
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@47d9a273
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@4b8ee4de
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@27f981c6
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@1b11171f
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@1151e434
2021-11-06 14:00:30 [main] [parse] [21] INFO  epam.task4.parser.impl.SymbolParser - by.epam.task4.entity.LetterAndSymbol@2dc54ad4
